Campus ID,Student ID,Teacher Last Name,Teacher First Name,Course Name,Unit,Type,Assignment,Assignment Opened *,Turned In *,Time Spent,Score,Unit Score,Total Score
PRA | PRA APP | PRA SPED,26875521,Espadas,Mr.,MA A02A Algebra 2A SY19-20 (2016) (CRx),1,LESSON,17. Algebraic Expressions: Exponents Part 2,8/25/2019 15:26,8/25/2019 15:35,0:08,100,91.1,87.1
PRA | PRA APP | PRA SPED,26875521,Espadas,Mr.,MA A02A Algebra 2A SY19-20 (2016) (CRx),1,LESSON,18. Algebraic Expressions: Multiplication and Division Part 1,8/25/2019 15:35,8/25/2019 15:42,0:07,100,91.1,87.1
PRA | PRA APP | PRA SPED,26875521,Espadas,Mr.,MA A02A Algebra 2A SY19-20 (2016) (CRx),1,QUIZ,22. Quiz 3: Algebraic Expressions,8/25/2019 15:49,8/25/2019 15:53,0:04,100,91.1,87.1
PRA | PRA APP | PRA SPED,26875521,Espadas,Mr.,MA A02A Algebra 2A SY19-20 (2016) (CRx),2,LESSON,6. Graphing Solution Sets for Inequalities,8/27/2019 16:10,10/1/2019 9:01,5:52,83.1,83.1,87.1
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),1,LESSON,2. Variables and Expressions,8/7/2019 13:51,8/7/2019 15:20,1:03,95,82.1,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),1,LESSON,3. Exponents and Order of Operations,8/7/2019 15:21,8/7/2019 16:30,1:08,85.7,82.1,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),1,LESSON,4. Evaluating Expressions,8/8/2019 12:20,8/8/2019 12:34,0:13,92.3,82.1,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),1,QUIZ,5. Quiz 1: The Language of Algebra,8/8/2019 13:36,8/8/2019 14:01,0:24,85,82.1,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),1,LESSON,7. Classifying and Comparing Numbers,8/8/2019 14:37,8/12/2019 14:55,1:44,81,82.1,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),1,LESSON,8. Decimal-Fraction Conversions,8/8/2019 16:19,8/12/2019 14:42,0:38,100,82.1,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),1,LESSON,9. Fractions,8/12/2019 15:15,8/12/2019 16:04,0:49,80,82.1,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),1,LESSON,10. Adding and Subtracting Signed Numbers,8/12/2019 16:09,8/12/2019 16:17,0:08,73.3,82.1,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),1,LESSON,11. Multiplying and Dividing Signed Numbers,8/12/2019 16:37,8/13/2019 14:17,1:31,84.6,82.1,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),1,LESSON,12. Absolute Value,8/13/2019 15:31,8/13/2019 16:14,0:43,77.4,82.1,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),1,QUIZ,13. Quiz 2: The Real Numbers,8/14/2019 13:59,8/19/2019 16:37,1:56,74.6,82.1,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),1,LESSON,15. Commutative and Associative Properties,8/19/2019 13:50,8/19/2019 14:13,0:23,78.9,82.1,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),1,LESSON,16. Distributive Property,8/20/2019 12:19,8/20/2019 13:55,0:51,95,82.1,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),1,LESSON,17. Simplifying Expressions,8/20/2019 13:56,8/20/2019 16:06,2:09,76.5,82.1,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),1,QUIZ,18. Quiz 3: Properties of the Real Numbers,8/27/2019 12:14,8/27/2019 12:59,0:45,86,82.1,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),1,PROJECT,20. Performance Task,8/14/2019 15:30,9/10/2019 13:28,3:03,78,82.1,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),1,LESSON,21. Simplifying Radicals,8/20/2019 16:20,8/21/2019 14:14,1:27,83.3,82.1,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),1,LESSON,22. Multiplying Radicals,8/27/2019 13:01,8/27/2019 16:04,1:22,87.5,82.1,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),1,LESSON,23. Dividing Radicals,8/29/2019 13:42,8/29/2019 15:35,1:53,94.7,82.1,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),1,LESSON,24. Adding and Subtracting Radicals,9/3/2019 15:57,9/4/2019 14:39,1:51,85.7,82.1,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),1,LESSON,27. Review,9/5/2019 13:28,9/5/2019 14:12,0:43,71.9,82.1,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),1,TEST,28. Test,9/9/2019 13:43,9/12/2019 16:14,4:09,87.9,82.1,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),2,LESSON,1. Open Sentences,8/21/2019 13:32,8/26/2019 15:30,1:26,87.5,76.8,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),2,LESSON,2. Addition Property of Equality,8/20/2019 16:12,8/26/2019 16:26,1:03,83.3,76.8,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),2,LESSON,3. Multiplication Property of Equality,9/10/2019 13:55,9/10/2019 15:52,1:45,92.3,76.8,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),2,LESSON,4. Two-Step Equations,9/10/2019 16:41,9/12/2019 13:57,3:20,87,76.8,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),2,QUIZ,5. Quiz 1: Solving Equations,9/12/2019 16:14,9/19/2019 16:44,1:18,90,76.8,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),2,LESSON,7. Variables on Both Sides,9/12/2019 12:40,9/19/2019 16:32,1:53,78,76.8,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),2,LESSON,8. Combining Like Terms,9/18/2019 13:56,9/18/2019 15:41,1:40,88.9,76.8,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),2,LESSON,9. The Distributive Property,9/18/2019 15:56,9/19/2019 19:02,3:14,71.4,76.8,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),2,LESSON,10. Literal Equations,9/19/2019 19:02,11/26/2019 17:58,5:33,80.5,76.8,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),2,QUIZ,11. Quiz 2: Multi-Step Equations,9/30/2019 4:47,9/30/2019 4:59,0:12,74.7,76.8,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),2,LESSON,13. Writing Equations from Word Problems,9/30/2019 19:03,12/4/2019 18:03,4:46,94.3,76.8,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),2,LESSON,14. Two Unknowns,10/21/2019 21:27,12/5/2019 16:52,1:00,80,76.8,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),2,LESSON,15. More than Two Unknowns,12/9/2019 18:09,1/7/2020 16:52,2:38,87.5,76.8,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),2,LESSON,16. Using a Chart,1/8/2020 15:39,1/28/2020 16:54,4:04,76.7,76.8,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),2,QUIZ,17. Quiz 3: Word Problems,1/13/2020 15:18,2/19/2020 15:43,0:12,100,76.8,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),2,LESSON,19. Percent Problems,1/30/2020 15:21,2/5/2020 16:00,2:04,96.9,76.8,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),2,LESSON,20. Mixture and Interest Problems,2/19/2020 15:44,2/19/2020 16:20,0:36,72.2,76.8,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),2,QUIZ,21. Quiz 4: Mixture and Investment Problems,2/19/2020 16:21,2/19/2020 16:36,0:16,74.1,76.8,79.45
PRA | PRA APP,37253356,Espadas,Mr.,MA A01A Algebra 1A SY19-20 (2016),2,PROJECT,22. Performance Task,9/5/2019 12:31,2/28/2020 10:19,2:53,70,76.8,79.45
